title
9
10
20
21
54
300
1408
1984
2012
2046
 (500) Days of Summer 
*batteries not included
[REC]
10 Cloverfield Lane
10 Things I Hate About You
101 Dalmatians
102 Dalmatians
12 Angry Men
12 Years a Slave
127 Hours
13 Going on 30
13 Hours
15 Minutes
16 Blocks
17 Again
2 Days in the Valley
2 Fast 2 Furious
20 Dates
200 Cigarettes
2001 A Space Odyssey
2010 The Year We Make Contact
21 Grams
21 Jump Street
22 Jump Street
24 Hour Party People
25th Hour
27 Dresses
28 Days
28 Days Later�
28 Weeks Later
3 10 to Yuma
3 Ninjas
30 Days of Night
30 Minutes or Less
3000 Miles to Graceland
40 Days and 40 Nights
47 Ronin
48 Hrs.
50 50
50 First Dates
8 1-2
8 Mile
8MM
9 1-2 Weeks
A Million Ways to Die in the West
A.I. Artificial Intelligence
¡Three Amigos!
About a Boy
About Last Night...
About Schmidt
About Time
Abraham Lincoln Vampire Hunter
Absolute Power
Accepted
Ace Ventura Pet Detective
Ace Ventura When Nature Calls
Across the Universe
Adaptation
Addams Family Values
Addicted to Love
Adventureland
Adventures in Babysitting
Adventures of PriscillaQueen of the Desert 
Aeon Flux
Affair to RememberAn 
After Hours
After the Sunset
Agent Cody Banks
Agnes of God
Aguirre The Wrath of God
Air America
Air Force One
Airheads
Airplane II The Sequel
Airplane!
Akeelah and the Bee
Akira
Aladdin
Aladdin and the King of Thieves
Alexander
Alfie
Ali
Alice
Alice in Wonderland
Alien
Alien Covenant
Alien Nation
Alien Resurrection
Alien³
Aliens
Alive
All About Eve
All About My Mother
All Dogs Go to Heaven
All Dogs Go to Heaven 2
All Quiet on the Western Front
All That Jazz
All the King's Men
All the President's Men
Allan Quatermain and the Lost City of Gold
Almost Famous
Along Came a Spider
Along Came Polly
Alpha Dog
Altered States
Always
Amadeus
Amelie
American Beauty
American Gangster
American Gigolo
American Graffiti
American History X
American Hustle
American in ParisAn 
American Movie
American Pie
American Pie 2
American Pie Presents Band Camp
American Psycho
American Sniper
American Splendor
American Tail Fievel Goes WestAn 
American TailAn 
American Ultra
American Wedding
American Werewolf in LondonAn 
American Werewolf in ParisAn 
America's Sweethearts
Amistad
Amores Perros
Anaconda
Analyze That
Analyze This
Anastasia
Anchorman 2 The Legend Continues
Anchorman The Legend of Ron Burgundy
Anchors Aweigh
And Your Mother Too
Angel Heart
Angels & Demons
Angels and Insects
Angels in the Outfield
Anger Management
Angus
Animal House
Anna and the King
Anne Frank Remembered
Annie
Annie Hall
Another 48 Hrs.
Another Stakeout
Antichrist
Antitrust
Ant-Man
Antonia's Line
Antwone Fisher
Antz
Any Given Sunday
Apocalypse Now
Apocalypto
Apollo 13
Apt Pupil
Arachnophobia
Argo
Arizona Dream
Arlington Road
Armageddon
Armed and Dangerous
Armour of God
Armour of God II Operation Condor
Army of Darkness
Around the World in 80 Days
Arrival
Arsenic and Old Lace
Art School Confidential
Arthur
As Good as It Gets
Assassins
Assault on Precinct 13
At First Sight
Atlantic City
Atlantis The Lost Empire
Atonement
Attack of the Killer Tomatoes!
Attack the Block
Au revoir les enfants
Audition
August Rush
Auntie Mame
Austin Powers in Goldmember
Austin Powers International Man of Mystery
Austin Powers The Spy Who Shagged Me
Australia
Autumn in New York
Avatar
Avengers Age of Ultron
Avengers Infinity War - Part I
AVP Alien vs. Predator
AVPR Aliens vs. Predator - Requiem
Awakenings
Babe
Babe Pig in the City
Babel
Babes in Toyland
Babette's Feast
Baby Driver
Baby Mama
Baby... Secret of the Lost Legend
Babylon 5 In the Beginning
Bachelor Party
Back to School
Back to the Future
Back to the Future Part II
Back to the Future Part III
Backbeat
Backdraft
Bad Boys
Bad Boys II
Bad Company
Bad Education
Bad Girls
Bad Lieutenant
Bad Santa
Bad Taste
Bad Teacher
Badlands
Balto
BambaLa 
Bambi
Bamboozled
Bananas
Band of Brothers
Bandits
Barb Wire
Barbarella
Barbershop
Barcelona
Barefoot in the Park
Barry Lyndon
Barton Fink
BASEketball
Basic Instinct
Basquiat
Batman
Batman & Robin
Batman Begins
Batman Forever
Batman Mask of the Phantasm
Batman Returns
Batman The Dark Knight Returns Part 2
Batman The Dark Knight ReturnsPart 1 
Batman v Superman Dawn of Justice
Battle for the Planet of the Apes
Battle Royale
Battlefield Earth
Battleship Potemkin
Battlestar Galactica
Battlestar Galactica Razor
Be Cool
Be Kind Rewind
Beaches
Bean
Beasts of the Southern Wild
Beautiful Girls
Beautiful MindA 
Beauty and the Beast
Beauty of the Day
Beavis and Butt-Head Do America
Becoming Jane
Bed of Roses
Bedazzled
Bedknobs and Broomsticks
Bedtime Stories
Bee Movie
Beerfest
Beethoven
Beethoven's 2nd
Beetlejuice
Before Night Falls
Before Sunrise
Before Sunset
Behind Enemy Lines
Being John Malkovich
Being There
Bend It Like Beckham
Beneath the Planet of the Apes
Ben-Hur
Benji
Benny & Joon
Beowulf
Best in Show
Better Off Dead...
Beverly Hills Cop
Beverly Hills Cop II
Beverly Hills Cop III
Beverly Hills Ninja
Bewitched
Beyond Rangoon
Beyond the Mat
Bicentennial Man
Bicycle ThievesDrama 
Big
Big Bully
Big Daddy
Big Fat Liar
Big Fish
Big Hero 6
Big Momma's House
Big Night
Big Top Pee-Wee
Big Trouble
Big Trouble in Little China
Bill & Ted's Bogus Journey
Bill & Ted's Excellent Adventure
Bill CosbyHimself 
Billy Elliot
Billy Madison
Bio-Dome
Bird on a Wire
Birdman or (The Unexpected Virtue of Ignorance)
Birdy
Birthday Girl
Bitter Moon
Black Beauty
Black CatWhite Cat 
Black Hawk Down
Black Knight
Black Panther
Black Sheep
Black Swan
Blade
Blade II
Blade Runner
Blade Runner 2049
Blade Trinity
Blades of Glory
Blame It on Rio
Blank Check
Blast from the Past
Blazing Saddles
Blended
Blind Date
Blink
Blood Diamond
Blood Simple
Bloodsport
Bloodsport 2
Bloody Sunday
Blow
Blown Away
Blow-Up
Blue Crush
Blue Streak
Blue Valentine
Blue Velvet
Blues Brothers 2000
Bob Roberts
Body Heat
Body of Lies
Body Snatchers
Boiler Room
Bolt
Bonfire of the Vanities
Bonnie and Clyde
Boogie Nights
Boomerang
BootDas 
Booty Call
Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
Born on the Fourth of July
Born Yesterday
Bottle Rocket
Bounce
Bound
Bowfinger
Bowling for Columbine
Boxing Helena
Boyhood
Boys Don't Cry
Boys on the Side
Boyz n the Hood
Brüno
Brassed Off
Brave
Braveheart
Brazil
Breach
Breakdown
Breaker Morant
Breakfast at Tiffany's
Breaking Away
Breaking the Waves
Breathless
Brewster's Millions
Brick
Bride of Chucky
Bridesmaids
Bridge of Spies
Bridge to Terabithia
Bridge Too FarA 
Bridget Jones The Edge of Reason
Bridget Jones's Diary
Brighton Beach Memoirs
Bring It On
Bringing Down the House
Bringing Out the Dead
Bringing Up Baby
Broadcast News
Broadway Danny Rose
Brokeback Mountain
Broken Arrow
Broken Flowers
Bronx TaleA 
Brother
Brotherhood of the Wolf
Brothers
Bruce Almighty
Bubba Ho-tep
Bubble Boy
Buffalo '66
Buffy the Vampire Slayer
Bug's LifeA 
Bull Durham
Bulletproof
Bulletproof Monk
Bullets Over Broadway
Bullitt
Bully
Bulworth
Burn After Reading
Burnt by the Sun
Butch Cassidy and the Sundance Kid
Cabaret
Cabin Boy
Cabin Fever
Caddyshack
Calendar Girls
Canadian Bacon
Candyman
Can't Hardly Wait
Cape Fear
Capote
Captain America Civil War
Captain America The First Avenger
Captain America The Winter Soldier
Captain Fantastic
Captain Phillips
Captain Ron
Capturing the Friedmans
Carlito's Way
Carrie
Cars
Casablanca
Cashback
Casino
Casino Royale
Casper
Cast Away
Cat Ballou
Cat on a Hot Tin Roof
Cat People
Catch Me If You Can
Catch-22
Cats & Dogs
Cat's Eye
Catwoman
CB4 - The Movie
Cecil B. DeMented
Celebrity
Cellular
Celtic Pride
Cemetery Man
Center Stage
Central Station
Chain Reaction
Changeling
Changing Lanes
Chappie
Charade
Chariots of Fire
Charlie and the Chocolate Factory
Charlie Bartlett
Charlie Brown ChristmasA 
Charlie Wilson's War
Charlie's Angels
Charlie's Angels Full Throttle
Charlotte's Web
Chasing Amy
Chasing Liberty
Cheaper by the Dozen
Cheech and Chong's Up in Smoke
Chicago
Chicken Little
Chicken Run
Children of a Lesser God
Children of Men
Children of the Corn
Child's Play
Child's Play 3
Chinatown
Chitty Chitty Bang Bang
Chocolat
Christine
Christmas CarolA 
Christmas StoryA 
Christmas Vacation
Chronicle
Chronicles of Narnia The Lion The Witch and the Wardrobe
Cinderella
Cinderella Man
Cinderella StoryA 
Cinema Paradiso
Circle of Friends
Citizen Kane
City Hall
City Lights
City of Angels
City of God
City Slickers
City Slickers II The Legend of Curly's Gold
Civil ActionA 
Clash of the Titans
Clean Slate
Clear and Present Danger
Clerks
Clerks II
Click
Cliffhanger
Clockers
Clockwatchers
Clockwork OrangeA 
Close Encounters of the Third Kind
Closer
Cloud Atlas
Cloudy with a Chance of Meatballs
Cloverfield
Club Dread
Clue
Clueless
Coach Carter
Cobb
Cocktail
Coco
Cocoon
Cocoon The Return
Coffee and Cigarettes
Cold Comfort Farm
Cold Mountain
Collateral
Collateral Damage
Colombiana
Color of Night
Coming Home
Coming to America
Commando
Con Air
Conan the Barbarian
Conan the Destroyer
Coneheads
Confessions of a Dangerous Mind
Confidence
Congo
Conquest of the Planet of the Apes
Conspiracy Theory
Constantine
Contact
Contagion
Cookie's Fortune
Cool Hand Luke
Cool Runnings
Cop Land
Cop Out
Cops and Robbersons
Copycat
Coraline
Corpse Bride
CorrinaCorrina 
Courage Under Fire
Cowboy Bebop The Movie
Cowboys & Aliens
Coyote Ugly
Crank
Crank High Voltage
Crash
Crazy Beautiful
Crazy Heart
